"export-plots data (NetLogo 5.3.1)"
"terrorist-network.nlogo"
"11/26/2017 23:51:58:343 +0800"

"MODEL SETTINGS"
"links-with-others","terror-range","show-fear-index?","groups","initial-residual-fear","intervation-delay","people-network?","media?","guidance-effort","intervention-ability-to-media","resource-utilization-rate","residual-decay-rate","media-numbers","show-residual-fear?","media-frequency","government-credibility","level-of-intervation","media-public-influence","media-information-authenticity","people-population","terror-severity","network-communication-frequency","numbers-of-intervation"
"2","5","false","5","100","0","true","true","0","0","1","2","10","true","2","0","0","1","1","100","100","20","1"

"""fear-index of people"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","100","0","100","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","1","1","0","0"

"""default"""
"x","y","color","pen down?"
"17","55","0","true"
"72","41","0","true"
"22","59","0","true"
"5","48","0","true"
"76","47","0","true"
"83","57","0","true"
"65","49","0","true"
"52","50","0","true"
"29","55","0","true"
"51","55","0","true"
"85","54","0","true"
"61","54","0","true"
"20","54","0","true"
"53","57","0","true"
"60","57","0","true"
"92","51","0","true"
"66","57","0","true"
"84","52","0","true"
"96","55","0","true"
"56","50","0","true"
"91","51","0","true"
"71","51","0","true"
"63","58","0","true"
"90","54","0","true"
"36","53","0","true"
"32","46","0","true"
"21","56","0","true"
"88","59","0","true"
"39","51","0","true"
"33","55","0","true"
"44","56","0","true"
"73","50","0","true"
"97","57","0","true"
"16","47","0","true"
"81","55","0","true"
"26","48","0","true"
"43","50","0","true"
"64","44","0","true"
"89","60","0","true"
"34","45","0","true"
"28","50","0","true"
"68","56","0","true"
"78","48","0","true"
"79","52","0","true"
"62","46","0","true"
"25","50","0","true"
"9","56","0","true"
"95","48","0","true"
"38","61","0","true"
"8","56","0","true"
"1","57","0","true"
"42","48","0","true"
"69","56","0","true"
"87","51","0","true"
"75","44","0","true"
"15","51","0","true"
"54","51","0","true"
"14","55","0","true"
"41","52","0","true"
"50","51","0","true"
"57","54","0","true"
"48","52","0","true"
"46","54","0","true"
"47","51","0","true"
"18","57","0","true"
"45","48","0","true"
"24","47","0","true"
"37","48","0","true"
"19","54","0","true"
"82","52","0","true"
"80","47","0","true"
"40","49","0","true"
"31","53","0","true"
"35","53","0","true"
"67","51","0","true"
"4","46","0","true"
"30","60","0","true"
"23","58","0","true"
"58","52","0","true"
"2","49","0","true"
"94","48","0","true"
"55","44","0","true"
"13","61","0","true"
"74","52","0","true"
"59","49","0","true"
"27","55","0","true"
"3","52","0","true"
"7","49","0","true"
"70","47","0","true"
"98","49","0","true"
"12","51","0","true"
"77","44","0","true"
"86","54","0","true"
"93","61","0","true"
"11","47","0","true"
"10","57","0","true"
"99","55","0","true"
"49","53","0","true"
"6","49","0","true"
"0","52","0","true"

"""risk-perception-bias of people"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","100","0","1","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","1","1","0","0"

"""default"""
"x","y","color","pen down?"
"17","0.67","0","true"
"72","0.69","0","true"
"22","0.69","0","true"
"5","0.67","0","true"
"76","0.67","0","true"
"83","0.68","0","true"
"65","0.69","0","true"
"52","0.69","0","true"
"29","0.68","0","true"
"51","0.67","0","true"
"85","0.67","0","true"
"61","0.68","0","true"
"20","0.67","0","true"
"53","0.72","0","true"
"60","0.67","0","true"
"92","0.69","0","true"
"66","0.68","0","true"
"84","0.69","0","true"
"96","0.67","0","true"
"56","0.67","0","true"
"91","0.68","0","true"
"71","0.67","0","true"
"63","0.69","0","true"
"90","0.68","0","true"
"36","0.67","0","true"
"32","0.7","0","true"
"21","0.68","0","true"
"88","0.68","0","true"
"39","0.67","0","true"
"33","0.67","0","true"
"44","0.68","0","true"
"73","0.68","0","true"
"97","0.67","0","true"
"16","0.67","0","true"
"81","0.67","0","true"
"26","0.69","0","true"
"43","0.67","0","true"
"64","0.67","0","true"
"89","0.67","0","true"
"34","0.67","0","true"
"28","0.68","0","true"
"68","0.67","0","true"
"78","0.67","0","true"
"79","0.67","0","true"
"62","0.67","0","true"
"25","0.67","0","true"
"9","0.67","0","true"
"95","0.68","0","true"
"38","0.67","0","true"
"8","0.67","0","true"
"1","0.69","0","true"
"42","0.68","0","true"
"69","0.67","0","true"
"87","0.67","0","true"
"75","0.67","0","true"
"15","0.7","0","true"
"54","0.67","0","true"
"14","0.68","0","true"
"41","0.68","0","true"
"50","0.67","0","true"
"57","0.69","0","true"
"48","0.67","0","true"
"46","0.68","0","true"
"47","0.68","0","true"
"18","0.67","0","true"
"45","0.67","0","true"
"24","0.67","0","true"
"37","0.67","0","true"
"19","0.67","0","true"
"82","0.67","0","true"
"80","0.68","0","true"
"40","0.67","0","true"
"31","0.69","0","true"
"35","0.67","0","true"
"67","0.67","0","true"
"4","0.68","0","true"
"30","0.67","0","true"
"23","0.69","0","true"
"58","0.67","0","true"
"2","0.67","0","true"
"94","0.68","0","true"
"55","0.67","0","true"
"13","0.67","0","true"
"74","0.67","0","true"
"59","0.68","0","true"
"27","0.68","0","true"
"3","0.7","0","true"
"7","0.67","0","true"
"70","0.68","0","true"
"98","0.67","0","true"
"12","0.68","0","true"
"77","0.68","0","true"
"86","0.67","0","true"
"93","0.67","0","true"
"11","0.67","0","true"
"10","0.67","0","true"
"99","0.68","0","true"
"49","0.67","0","true"
"6","0.67","0","true"
"0","0.7","0","true"

"""fear-sacle of people"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","13100","0","100","true","""Slite fear""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""Slite fear""","true","0","1","55","12055"
"""Moderate fear""","true","0","1","105","12055"
"""Server fear""","true","0","1","25","12055"
"""Extreme fear""","true","0","1","15","12055"

"""Slite fear""",,,,"""Moderate fear""",,,,"""Server fear""",,,,"""Extreme fear"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","16","55","true","0","24","105","true","0","24","25","true","0","36","15","true"
"1","14","55","true","1","26","105","true","1","26","25","true","1","34","15","true"
"2","14","55","true","2","26","105","true","2","26","25","true","2","34","15","true"
"3","14","55","true","3","26","105","true","3","27","25","true","3","33","15","true"
"4","14","55","true","4","26","105","true","4","27","25","true","4","33","15","true"
"5","13","55","true","5","27","105","true","5","27","25","true","5","33","15","true"
"6","13","55","true","6","27","105","true","6","27","25","true","6","33","15","true"
"7","13","55","true","7","27","105","true","7","27","25","true","7","33","15","true"
"8","13","55","true","8","27","105","true","8","27","25","true","8","33","15","true"
"9","13","55","true","9","27","105","true","9","27","25","true","9","33","15","true"
"10","13","55","true","10","27","105","true","10","27","25","true","10","33","15","true"
"11","13","55","true","11","27","105","true","11","27","25","true","11","33","15","true"
"12","13","55","true","12","26","105","true","12","28","25","true","12","33","15","true"
"13","13","55","true","13","26","105","true","13","28","25","true","13","33","15","true"
"14","13","55","true","14","26","105","true","14","28","25","true","14","33","15","true"
"15","13","55","true","15","26","105","true","15","28","25","true","15","33","15","true"
"16","12","55","true","16","27","105","true","16","28","25","true","16","33","15","true"
"17","12","55","true","17","27","105","true","17","28","25","true","17","33","15","true"
"18","12","55","true","18","27","105","true","18","28","25","true","18","33","15","true"
"19","12","55","true","19","27","105","true","19","28","25","true","19","33","15","true"
"20","12","55","true","20","27","105","true","20","28","25","true","20","33","15","true"
"21","12","55","true","21","28","105","true","21","28","25","true","21","32","15","true"
"22","12","55","true","22","28","105","true","22","28","25","true","22","32","15","true"
"23","12","55","true","23","28","105","true","23","28","25","true","23","32","15","true"
"24","12","55","true","24","28","105","true","24","28","25","true","24","32","15","true"
"25","12","55","true","25","28","105","true","25","28","25","true","25","32","15","true"
"26","12","55","true","26","28","105","true","26","28","25","true","26","32","15","true"
"27","12","55","true","27","28","105","true","27","28","25","true","27","32","15","true"
"28","12","55","true","28","28","105","true","28","28","25","true","28","32","15","true"
"29","12","55","true","29","28","105","true","29","28","25","true","29","32","15","true"
"30","12","55","true","30","28","105","true","30","28","25","true","30","32","15","true"
"31","12","55","true","31","28","105","true","31","28","25","true","31","32","15","true"
"32","12","55","true","32","28","105","true","32","28","25","true","32","32","15","true"
"33","12","55","true","33","28","105","true","33","28","25","true","33","32","15","true"
"34","12","55","true","34","28","105","true","34","28","25","true","34","32","15","true"
"35","12","55","true","35","28","105","true","35","28","25","true","35","32","15","true"
"36","12","55","true","36","28","105","true","36","28","25","true","36","32","15","true"
"37","12","55","true","37","28","105","true","37","28","25","true","37","32","15","true"
"38","12","55","true","38","28","105","true","38","28","25","true","38","32","15","true"
"39","12","55","true","39","28","105","true","39","28","25","true","39","32","15","true"
"40","12","55","true","40","28","105","true","40","28","25","true","40","32","15","true"
